Track,Album Name,Artist,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Year,Month
MILLION DOLLAR BABY,Million Dollar Baby Single,Tommy Richman,QM24S2402528,1,725.4,390470936,30716,196631588,92.0,84274754,1713126,5767700,651565900,-2147483648,150597040,210.0,40975,684,62.0,17598718,114.0,18004655,22931,"4,818,457",2669262,False,2024,April
Not Like Us,Not Like Us,Kendrick Lamar,USUG12400910,2,545.9,323703884,28113,174597137,92.0,116347040,3486739,674700,35223547,208339025,156380351,188.0,40778,3,67.0,10422430,111.0,7780028,28444,"6,623,075",1118279,True,2024,May
i like the way you kiss me,I like the way you kiss me,Artemas,QZJ842400387,3,538.4,601309283,54331,211607669,92.0,122599116,2228730,3025400,275154237,-2147483648,373784955,190.0,74333,536,136.0,36321847,172.0,5022621,5639,"7,208,651",5285340,False,2024,March
Flowers,Flowers Single,Miley Cyrus,USSM12209777,4,444.9,2031280633,269802,136569078,85.0,1096100899,10629796,7189811,1078757968,-2147483648,-2147483648,394.0,1474799,2182,264.0,24684248,210.0,190260277,203384,0,11822942,False,2023,January
Houdini,Houdini,Eminem,USUG12403398,5,423.3,107034922,7223,151469874,88.0,77373957,3670188,16400,0,0,112763851,182.0,12185,1,82.0,17660624,105.0,4493884,7006,"207,179",457017,True,2024,May
Lovin On Me,Lovin On Me,Jack Harlow,USAT22311371,6,410.1,670665438,105892,175421034,83.0,131148091,1392593,4202367,214943489,-2147483648,-2147483648,138.0,522042,4654,86.0,17167254,152.0,138529362,50982,"9,438,601",4517131,True,2023,November
Beautiful Things,Beautiful Things,Benson Boone,USWB12307016,7,407.2,900158751,73118,201585714,86.0,308723145,4120760,0,29584940,534915313,-2147483648,280.0,383478,429,168.0,48197850,154.0,65447476,57372,0,9990302,False,2024,January
Gata Only,Gata Only,FloyyMenor,QZL382406049,8,375.8,675079153,40094,211236940,92.0,228382568,1439495,3500000,338546668,-2147483648,2112581620,160.0,17221,30,87.0,33245595,53.0,3372428,5762,0,6063523,True,2024,February
Danza Kuduro Cover,Unknown,MUSIC LAB JPN,TCJPA2463708,9,355.7,1653018119,1,15,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,True,2024,June
BAND4BAND feat Lil Baby,BAND4BAND feat Lil Baby,Central Cee,USSM12404354,10,330.6,90676573,10400,184199419,86.0,32735244,988682,325800,121574500,974656200,174706874,191.0,3823,117,78.0,10800098,92.0,1005626,842,"3,679,709",666302,True,2024,May
I Had Some Help feat Morgan Wallen,I Had Some Help,Post Malone,USUM72404990,11,322.1,250080413,16219,168766158,91.0,32229063,550191,0,184500,2100000,327130768,157.0,62312,71,60.0,12009073,114.0,23155471,21172,"1,594,605",963413,True,2024,May
The Door,The Door,Teddy Swims,USWB12402486,12,320.2,111155129,2,263767,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,2.0,0,0,0,0,True,2024,June
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,USUM72401991,13,316.3,221636195,13800,197280692,92.0,40022524,1307290,195300,45889000,360017000,342107131,244.0,41344,45,138.0,38243636,163.0,1354692,1219,"1,313,357",450344,False,2024,May
Like That,WE DON T TRUST YOU,Future,USSM12402041,14,308.2,355186436,43025,108168634,88.0,98081493,1456177,0,0,0,174491415,153.0,90237,3,55.0,3001826,109.0,26252264,18364,"12,038,034",1963314,True,2024,March
bathroom floor,bathroom floor,Kids With Buns,NLC242100307,15,301.6,297185,277,24445,12.0,-2147483648,16785489,3,1088,22234,0,1.0,1057,0,0.0,0,0.0,0,0,0,3288,False,2022,October
LALA,LALA Single,Myke Towers,USWL12300002,16,299.9,925655569,103605,79944921,79.0,934302031,4294166,11054500,521725116,-2147483648,2042145659,94.0,92231,228,60.0,5633435,83.0,12171026,13242,"871,978",2765808,True,2023,March
Fortnight feat Post Malone,THE TORTURED POETS DEPARTMENT,Taylor Swift,USUG12401028,17,297.6,395433400,12784,177932568,89.0,104673836,2484083,139300,25348800,207317000,268893710,221.0,129968,3,99.0,37988531,134.0,9961769,13437,"377,734",1210029,False,2024,April
greedy,greedy,Tate McRae,USRC12301932,18,293.7,1258569694,105218,198845580,87.0,141646818,1514837,2294429,419319161,-2147483648,-2147483648,207.0,667329,3310,188.0,21788568,150.0,44850379,12270,0,6973652,True,2023,September
BLUE,HIT ME HARD AND SOFT,Billie Eilish,USUM72401996,19,292.6,91272461,6499,52287548,86.0,16038053,569377,941900,119740900,1225345800,5839168,76.0,181,1,24.0,5054005,33.0,283089,162,"975,891",257661,False,2024,May
As It Was,As It Was,Harry Styles,USSM12200612,20,292.0,-2147483648,407119,169783402,87.0,800899315,9101589,2755903,1633970617,-2147483648,-2147483648,455.0,1777811,4909,330.0,12907852,189.0,132624772,79909,0,14967379,False,2022,March
Paint The Town Red,Paint The Town Red,Doja Cat,USRC12300907,21,290.5,1065399331,170890,121712197,78.0,240970670,2749668,3091732,652428798,-2147483648,1063591802,158.0,400899,273,143.0,13718632,146.0,70291476,49111,0,7559816,True,2023,August
Espresso,Espresso,Sabrina Carpenter,USUM72403305,22,281.5,547882871,24425,262343414,95.0,107550212,1825761,209200,169144295,1379499000,422646034,298.0,37208,236,167.0,41414565,149.0,10362898,10848,"1,551,157",1373085,True,2024,April
Danza Kuduro Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,TCJPA2445163,23,279.0,1655575417,10,655,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,True,2024,May
TEXAS HOLD EM,TEXAS HOLD EM,Beyonc,USSM12401302,24,278.9,426700979,34044,152928632,86.0,35724356,437980,1470500,485200392,-2147483648,1213175656,159.0,309497,257,194.0,40725482,177.0,13860535,36282,0,2100708,True,2024,February
Future,Future,official sound studio,RUA1H2415548,25,277.5,0,1,2,0.0,0,0,9453333,273236305,-2147483648,0,0.0,0,0,0.0,0,0.0,0,0,0,0,False,2024,January
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,BXWEH2200054,26,268.1,7382759,3504,661084,35.0,4233958,69990,37621885,1636811753,-2147483648,0,1.0,0,439,1.0,6,1.0,0,0,0,633525,False,2022,May
STAY with Justin Bieber,STAY with Justin Bieber,The Kid LAROI,USSM12103949,27,266.3,-2147483648,451732,134793519,78.0,1256973582,14661425,7485966,-2147483648,-2147483648,-2147483648,513.0,1510151,4096,166.0,5783693,128.0,196783487,124922,"36,341,585",0,True,2021,July
Baby Shark,Unknown,Pinkfong,KRE671700001,28,265.7,720822868,60945,7530769,71.0,-2147483648,48757673,7743800,281762094,-2147483648,2166611,33.0,284,142,19.0,52179,17.0,86458847,2234137,0,2064420,False,2015,December
we can t be friends wait for your love,eternal sunshine,Ariana Grande,USUM72317276,29,262.8,591068364,26203,197494995,87.0,156882014,3080503,0,0,0,578568464,194.0,200230,32,117.0,22062193,126.0,10106573,7689,"1,612,479",1579980,False,2024,March
Numb Encore,Papercuts,JAY Z,USWB12400678,30,256.0,1003215671,128,485454,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,179867721,87209,0,4474248,True,2024,April
Danza Kuduro Cover,Unknown,LOVE BGM JPN,TCJPA2406007,31,249.8,1645079292,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,True,2024,May
SHEESH,BABYMONS7ER,BABYMONSTER,KRA402400016,32,237.5,124893397,3479,25936342,82.0,359896095,4907193,212500,48327004,390081328,38798822,36.0,2188,32,3.0,347997,26.0,130743,592,"265,670",191867,False,2024,April
Water,Water,Tyla,USSM12305126,33,234.6,670376179,98450,150471020,83.0,265180930,2566846,2114363,369150956,-2147483648,-2147483648,225.0,486952,1215,180.0,19469488,188.0,40418532,27555,"6,049,784",6447136,False,2023,July
Strangers,Strangers,Kenya Grace,USWB12305048,34,233.5,750154960,139141,103879363,79.0,118208096,1495758,1031447,196985853,-2147483648,1745168821,163.0,378114,856,113.0,16295286,112.0,20228317,5331,"10,938,075",7477917,False,2023,September
Too Sweet,Unreal Unearth Unheard,Hozier,USSM12401865,35,231.6,532012790,23557,67488850,0.0,62123098,923733,0,0,0,384716227,221.0,151990,64,42.0,658517,47.0,31032977,23005,"1,516,649",0,False,2024,March
What s Love Got to Do with It 2023 Remaster,What s Love Got to Do with It 30th Anniversary Deluxe Edition,Tina Turner,GBAYE2300351,36,230.0,479417905,7,1519,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,1.0,121250721,83632,0,3692067,False,2024,April
A Bar Song Tipsy,A Bar Song Tipsy,Shaboozey,USUYG1541249,37,226.4,311928522,25766,180237463,96.0,62694868,837616,0,27811667,378313942,243895569,149.0,0,141,58.0,26516005,146.0,21453034,30180,"4,482,348",1707213,True,2024,April
Lose Control,Lose Control,Teddy Swims,USWB12302315,38,224.1,775135157,88239,180617454,87.0,139180960,1504385,396560,49060857,597513595,-2147483648,215.0,605841,162,133.0,42675181,120.0,253538985,72429,"5,409,388",10517831,False,2023,June
fukumean,fukumean,Gunna,USAT22306575,39,221.1,759998727,188142,80392612,80.0,94699547,1222012,1237229,311252391,-2147483648,140623676,123.0,265291,4003,40.0,2225409,88.0,64456799,20518,"33,130,829",3945184,True,2023,June
Dance Monkey,Dance Monkey,Tones And I,QZES71982312,40,214.5,-2147483648,375201,64901153,71.0,-2147483648,27240268,10342366,393814740,-2147483648,-2147483648,549.0,573733,169,584.0,5749770,121.0,373294159,844198,"37,430,204",44842636,False,2019,May
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,USUM72401994,41,212.8,214237645,10871,202626837,92.0,11033725,251373,251200,71078500,443104700,148058631,247.0,3400,8,67.0,11523335,125.0,840442,2592,"1,369,981",285858,False,2024,May
Cupid Twin Ver FIFTY FIFTY Spe,Cupid Twin Ver FIFTY FIFTY Spe,sped up 8282,KRA252300672,42,211.2,170970614,27827,5784546,41.0,22280037,334523,14348249,948225544,-2147483648,0,2.0,672,0,4.0,35737,9.0,270610,3170,0,0,True,2023,April
I m Good Blue,I m Good Blue,David Guetta,UKWLG2200055,43,209.6,1658229422,262248,239957538,83.0,466080689,4324989,728093,54258768,1051836430,1425853925,285.0,935190,2487,207.0,6479623,168.0,139926990,31235,"8,007,236",10973120,True,2022,August
